date,retail
2022-12-01,660004
2022-11-01,610784
2022-10-01,597349
2022-09-01,577370
2022-08-01,613416
2022-07-01,600746
2022-06-01,609933
2022-05-01,614474
2022-04-01,594426
2022-03-01,597077
2022-02-01,506400
2022-01-01,518146
2021-12-01,632849
2021-11-01,579687
2021-10-01,557737
2021-09-01,532840
2021-08-01,553822
2021-07-01,554845
2021-06-01,560679
2021-05-01,567461
2021-04-01,557874
2021-03-01,565764
2021-02-01,438933
2021-01-01,462558
2020-12-01,558834
2020-11-01,491813
2020-10-01,494134
2020-09-01,474284
2020-08-01,487134
2020-07-01,492259
2020-06-01,478667
2020-05-01,460253
2020-04-01,375242
2020-03-01,428285
2020-02-01,413203
2020-01-01,416285
2019-12-01,518979
2019-11-01,467311
2019-10-01,455035
2019-09-01,428334
2019-08-01,472891
2019-07-01,461642
2019-06-01,448224
2019-05-01,475656
2019-04-01,442704
2019-03-01,447160
2019-02-01,384977
2019-01-01,399359
2018-12-01,493873
2018-11-01,460034
2018-10-01,442256
2018-09-01,417510
2018-08-01,456445
2018-07-01,441832
2018-06-01,443732
2018-05-01,464271
2018-04-01,420209
2018-03-01,444925
2018-02-01,380598
2018-01-01,389740
2017-12-01,496765
2017-11-01,441933
2017-10-01,417773
2017-09-01,412546
2017-08-01,431804
2017-07-01,416906
2017-06-01,423066
2017-05-01,434506
2017-04-01,407240
2017-03-01,423002
2017-02-01,365592
2017-01-01,369081
2016-12-01,482002
2016-11-01,413901
2016-10-01,397394
2016-09-01,394200
2016-08-01,416489
2016-07-01,405965
2016-06-01,410071
2016-05-01,413036
2016-04-01,394743
2016-03-01,404996
2016-02-01,363527
2016-01-01,351772
2015-12-01,464035
2015-11-01,396058
2015-10-01,392604
2015-09-01,381992
2015-08-01,404920
2015-07-01,406554
2015-06-01,397821
2015-05-01,409482
2015-04-01,387375
2015-03-01,393110
2015-02-01,341856
2015-01-01,350304
2014-12-01,451097
2014-11-01,391502
2014-10-01,388391
2014-09-01,374401
2014-08-01,401450
2014-07-01,394700
2014-06-01,385482
2014-05-01,408288
2014-04-01,383816
2014-03-01,383567
2014-02-01,337481
2014-01-01,340476
2013-12-01,430585
2013-11-01,378686
2013-10-01,369773
2013-09-01,352680
2013-08-01,388227
2013-07-01,376974
2013-06-01,369316
2013-05-01,389681
2013-04-01,362964
2013-03-01,374171
2013-02-01,332486
2013-01-01,333695
2012-12-01,416807
2012-11-01,368593
2012-10-01,355823
2012-09-01,342582
2012-08-01,372986
2012-07-01,351520
2012-06-01,356083
