,date,value
0,2022-11-01,259588
1,2022-10-01,273120
2,2022-09-01,289932
3,2022-08-01,279323
4,2022-07-01,249456
5,2022-06-01,294470
6,2022-05-01,263971
7,2022-04-01,260366
8,2022-03-01,294088
9,2022-02-01,250105
10,2022-01-01,242492
11,2021-12-01,267477
12,2021-11-01,244327
13,2021-10-01,247086
14,2021-09-01,260121
15,2021-08-01,250971
16,2021-07-01,228559
17,2021-06-01,263226
18,2021-05-01,235324
19,2021-04-01,236534
20,2021-03-01,267961
21,2021-02-01,226851
22,2021-01-01,215529
23,2020-12-01,240298
24,2020-11-01,217877
25,2020-10-01,231202
26,2020-09-01,236069
27,2020-08-01,219699
28,2020-07-01,204830
29,2020-06-01,213266
30,2020-05-01,174415
31,2020-04-01,157005
32,2020-03-01,220073
33,2020-02-01,225748
34,2020-01-01,211354
35,2019-12-01,220911
36,2019-11-01,204062
37,2019-10-01,226524
38,2019-09-01,229365
39,2019-08-01,228388
40,2019-07-01,208890
41,2019-06-01,231478
42,2019-05-01,220049
43,2019-04-01,220629
44,2019-03-01,254141
45,2019-02-01,210489
46,2019-01-01,209313
47,2018-12-01,243801
48,2018-11-01,228544
49,2018-10-01,241592
50,2018-09-01,250454
51,2018-08-01,251050
52,2018-07-01,215595
53,2018-06-01,261381
54,2018-05-01,241465
55,2018-04-01,232661
56,2018-03-01,268069
57,2018-02-01,220186
58,2018-01-01,204291
59,2017-12-01,245917
60,2017-11-01,227511
61,2017-10-01,228920
62,2017-09-01,238114
63,2017-08-01,226796
64,2017-07-01,198954
65,2017-06-01,260463
66,2017-05-01,221661
67,2017-04-01,211822
68,2017-03-01,250524
69,2017-02-01,207598
70,2017-01-01,192661
71,2016-12-01,229243
72,2016-11-01,213364
73,2016-10-01,231422
74,2016-09-01,230956
75,2016-08-01,221537
76,2016-07-01,197867
77,2016-06-01,230820
78,2016-05-01,217981
79,2016-04-01,221215
80,2016-03-01,243551
81,2016-02-01,211114
82,2016-01-01,199424
83,2015-12-01,230959
84,2015-11-01,216692
85,2015-10-01,228138
86,2015-09-01,231339
87,2015-08-01,218267
88,2015-07-01,216803
89,2015-06-01,252759
90,2015-05-01,211139
91,2015-04-01,220091
92,2015-03-01,249239
93,2015-02-01,206166
94,2015-01-01,200582
95,2014-12-01,240457
96,2014-11-01,216401
97,2014-10-01,238710
98,2014-09-01,249698
99,2014-08-01,231195
100,2014-07-01,286876
101,2014-06-01,257228
102,2014-05-01,231723
103,2014-04-01,231365
104,2014-03-01,251763
105,2014-02-01,221433
106,2014-01-01,203981
107,2013-12-01,250119
108,2013-11-01,233300
109,2013-10-01,236784
110,2013-09-01,248206
111,2013-08-01,224074
112,2013-07-01,208090
113,2013-06-01,260225
114,2013-05-01,238678
115,2013-04-01,221353
116,2013-03-01,232999
117,2013-02-01,225639
118,2013-01-01,204169
119,2012-12-01,239368
120,2012-11-01,209712
121,2012-10-01,222736
122,2012-09-01,223423
123,2012-08-01,204001
124,2012-07-01,206771
125,2012-06-01,233259
126,2012-05-01,220785
127,2012-04-01,210894
128,2012-03-01,240680
129,2012-02-01,224922
130,2012-01-01,204013
131,2011-12-01,237529
132,2011-11-01,206403
133,2011-10-01,206574
134,2011-09-01,221336
135,2011-08-01,216719
136,2011-07-01,189215
137,2011-06-01,216548
138,2011-05-01,205025
139,2011-04-01,194922
140,2011-03-01,233078
141,2011-02-01,187466
142,2011-01-01,184037
143,2010-12-01,209011
144,2010-11-01,186603
145,2010-10-01,192327
146,2010-09-01,213131
147,2010-08-01,191888
148,2010-07-01,174685
149,2010-06-01,200080
150,2010-05-01,183535
151,2010-04-01,181528
152,2010-03-01,199993
153,2010-02-01,169065
154,2010-01-01,163488
155,2009-12-01,174485
156,2009-11-01,151230
157,2009-10-01,163196
158,2009-09-01,168746
159,2009-08-01,155455
160,2009-07-01,145376
161,2009-06-01,157122
162,2009-05-01,145714
163,2009-04-01,139893
164,2009-03-01,162107
165,2009-02-01,137245
166,2009-01-01,138218
167,2008-12-01,191734
168,2008-11-01,169856
169,2008-10-01,197291
170,2008-09-01,224233
171,2008-08-01,214872
172,2008-07-01,205540
173,2008-06-01,242479
174,2008-05-01,227995
175,2008-04-01,225075
176,2008-03-01,250906
177,2008-02-01,229870
178,2008-01-01,219946
179,2007-12-01,254048
180,2007-11-01,224134
181,2007-10-01,235158
182,2007-09-01,232386
183,2007-08-01,241388
184,2007-07-01,211263
185,2007-06-01,243703
186,2007-05-01,229326
187,2007-04-01,225558
188,2007-03-01,252090
189,2007-02-01,211359
190,2007-01-01,204185
191,2006-12-01,236933
192,2006-11-01,218853
193,2006-10-01,219885
194,2006-09-01,243185
195,2006-08-01,215695
196,2006-07-01,186090
197,2006-06-01,237564
198,2006-05-01,217869
199,2006-04-01,206157
200,2006-03-01,252659
201,2006-02-01,209478
202,2006-01-01,191920
203,2005-12-01,229512
204,2005-11-01,215562
205,2005-10-01,211650
206,2005-09-01,214582
207,2005-08-01,209010
208,2005-07-01,169437
209,2005-06-01,224203
210,2005-05-01,205691
211,2005-04-01,190899
212,2005-03-01,209708
213,2005-02-01,188951
214,2005-01-01,177594
215,2004-12-01,201172
216,2004-11-01,188131
217,2004-10-01,186918
218,2004-09-01,197167
219,2004-08-01,184662
220,2004-07-01,163925
221,2004-06-01,197458
222,2004-05-01,181865
223,2004-04-01,183752
224,2004-03-01,214611
225,2004-02-01,180111
226,2004-01-01,164926
227,2003-12-01,187904
228,2003-11-01,173368
229,2003-10-01,190591
230,2003-09-01,187270
231,2003-08-01,170612
232,2003-07-01,150336
233,2003-06-01,183990
234,2003-05-01,172361
235,2003-04-01,168168
236,2003-03-01,188854
237,2003-02-01,169363
238,2003-01-01,160196
239,2002-12-01,167098
240,2002-11-01,164310
241,2002-10-01,174042
242,2002-09-01,174195
243,2002-08-01,176987
244,2002-07-01,151584
245,2002-06-01,173578
246,2002-05-01,176314
247,2002-04-01,170163
248,2002-03-01,183541
249,2002-02-01,167694
250,2002-01-01,152537
251,2001-12-01,170130
252,2001-11-01,160265
253,2001-10-01,175302
254,2001-09-01,169765
255,2001-08-01,171491
256,2001-07-01,144702
257,2001-06-01,188450
258,2001-05-01,180620
259,2001-04-01,166962
260,2001-03-01,201321
261,2001-02-01,176646
262,2001-01-01,167108
263,2000-12-01,192978
264,2000-11-01,185475
265,2000-10-01,187704
266,2000-09-01,210685
267,2000-08-01,187688
268,2000-07-01,159903
269,2000-06-01,237143
270,2000-05-01,190188
271,2000-04-01,186872
272,2000-03-01,212974
273,2000-02-01,189153
274,2000-01-01,185813
275,1999-12-01,202677
276,1999-11-01,183986
277,1999-10-01,193889
278,1999-09-01,202427
279,1999-08-01,186590
280,1999-07-01,159656
281,1999-06-01,198372
282,1999-05-01,182326
283,1999-04-01,180224
284,1999-03-01,204755
285,1999-02-01,185255
286,1999-01-01,171934
287,1998-12-01,185472
288,1998-11-01,177925
289,1998-10-01,181357
290,1998-09-01,193961
291,1998-08-01,173662
292,1998-07-01,145785
293,1998-06-01,187991
294,1998-05-01,175154
295,1998-04-01,178239
296,1998-03-01,193649
297,1998-02-01,182332
298,1998-01-01,164391
299,1997-12-01,179906
300,1997-11-01,185230
301,1997-10-01,183393
302,1997-09-01,190959
303,1997-08-01,170465
304,1997-07-01,150782
305,1997-06-01,187205
306,1997-05-01,165694
307,1997-04-01,170687
308,1997-03-01,180530
