,date,value
0,2022-12-01,3.5
1,2022-11-01,3.6
2,2022-10-01,3.7
3,2022-09-01,3.5
4,2022-08-01,3.7
5,2022-07-01,3.5
6,2022-06-01,3.6
7,2022-05-01,3.6
8,2022-04-01,3.6
9,2022-03-01,3.6
10,2022-02-01,3.8
11,2022-01-01,4.0
12,2021-12-01,3.9
13,2021-11-01,4.2
14,2021-10-01,4.5
15,2021-09-01,4.8
16,2021-08-01,5.2
17,2021-07-01,5.4
18,2021-06-01,5.9
19,2021-05-01,5.8
20,2021-04-01,6.1
21,2021-03-01,6.1
22,2021-02-01,6.2
23,2021-01-01,6.3
24,2020-12-01,6.7
25,2020-11-01,6.7
26,2020-10-01,6.9
27,2020-09-01,7.9
28,2020-08-01,8.4
29,2020-07-01,10.2
30,2020-06-01,11.0
31,2020-05-01,13.2
32,2020-04-01,14.7
33,2020-03-01,4.4
34,2020-02-01,3.5
35,2020-01-01,3.5
36,2019-12-01,3.6
37,2019-11-01,3.6
38,2019-10-01,3.6
39,2019-09-01,3.5
40,2019-08-01,3.7
41,2019-07-01,3.7
42,2019-06-01,3.6
43,2019-05-01,3.7
44,2019-04-01,3.6
45,2019-03-01,3.8
46,2019-02-01,3.8
47,2019-01-01,4.0
48,2018-12-01,3.9
49,2018-11-01,3.8
50,2018-10-01,3.8
51,2018-09-01,3.7
52,2018-08-01,3.8
53,2018-07-01,3.8
54,2018-06-01,4.0
55,2018-05-01,3.8
56,2018-04-01,4.0
57,2018-03-01,4.0
58,2018-02-01,4.1
59,2018-01-01,4.0
60,2017-12-01,4.1
61,2017-11-01,4.2
62,2017-10-01,4.2
63,2017-09-01,4.3
64,2017-08-01,4.4
65,2017-07-01,4.3
66,2017-06-01,4.3
67,2017-05-01,4.4
68,2017-04-01,4.4
69,2017-03-01,4.4
70,2017-02-01,4.6
71,2017-01-01,4.7
72,2016-12-01,4.7
73,2016-11-01,4.7
74,2016-10-01,4.9
75,2016-09-01,5.0
76,2016-08-01,4.9
77,2016-07-01,4.8
78,2016-06-01,4.9
79,2016-05-01,4.8
80,2016-04-01,5.1
81,2016-03-01,5.0
82,2016-02-01,4.9
83,2016-01-01,4.8
84,2015-12-01,5.0
85,2015-11-01,5.1
86,2015-10-01,5.0
87,2015-09-01,5.0
88,2015-08-01,5.1
89,2015-07-01,5.2
90,2015-06-01,5.3
91,2015-05-01,5.6
92,2015-04-01,5.4
93,2015-03-01,5.4
94,2015-02-01,5.5
95,2015-01-01,5.7
96,2014-12-01,5.6
97,2014-11-01,5.8
98,2014-10-01,5.7
99,2014-09-01,5.9
100,2014-08-01,6.1
101,2014-07-01,6.2
102,2014-06-01,6.1
103,2014-05-01,6.3
104,2014-04-01,6.2
105,2014-03-01,6.7
106,2014-02-01,6.7
107,2014-01-01,6.6
108,2013-12-01,6.7
109,2013-11-01,6.9
110,2013-10-01,7.2
111,2013-09-01,7.2
112,2013-08-01,7.2
113,2013-07-01,7.3
114,2013-06-01,7.5
115,2013-05-01,7.5
116,2013-04-01,7.6
117,2013-03-01,7.5
118,2013-02-01,7.7
119,2013-01-01,8.0
120,2012-12-01,7.9
121,2012-11-01,7.7
122,2012-10-01,7.8
123,2012-09-01,7.8
124,2012-08-01,8.1
125,2012-07-01,8.2
126,2012-06-01,8.2
127,2012-05-01,8.2
128,2012-04-01,8.2
129,2012-03-01,8.2
130,2012-02-01,8.3
131,2012-01-01,8.3
132,2011-12-01,8.5
133,2011-11-01,8.6
134,2011-10-01,8.8
135,2011-09-01,9.0
136,2011-08-01,9.0
137,2011-07-01,9.0
138,2011-06-01,9.1
139,2011-05-01,9.0
140,2011-04-01,9.1
141,2011-03-01,9.0
142,2011-02-01,9.0
143,2011-01-01,9.1
144,2010-12-01,9.3
145,2010-11-01,9.8
146,2010-10-01,9.4
147,2010-09-01,9.5
148,2010-08-01,9.5
149,2010-07-01,9.4
150,2010-06-01,9.4
151,2010-05-01,9.6
152,2010-04-01,9.9
153,2010-03-01,9.9
154,2010-02-01,9.8
155,2010-01-01,9.8
156,2009-12-01,9.9
157,2009-11-01,9.9
158,2009-10-01,10.0
159,2009-09-01,9.8
160,2009-08-01,9.6
161,2009-07-01,9.5
162,2009-06-01,9.5
163,2009-05-01,9.4
164,2009-04-01,9.0
165,2009-03-01,8.7
166,2009-02-01,8.3
167,2009-01-01,7.8
168,2008-12-01,7.3
169,2008-11-01,6.8
170,2008-10-01,6.5
171,2008-09-01,6.1
172,2008-08-01,6.1
173,2008-07-01,5.8
174,2008-06-01,5.6
175,2008-05-01,5.4
176,2008-04-01,5.0
177,2008-03-01,5.1
178,2008-02-01,4.9
179,2008-01-01,5.0
180,2007-12-01,5.0
181,2007-11-01,4.7
182,2007-10-01,4.7
183,2007-09-01,4.7
184,2007-08-01,4.6
185,2007-07-01,4.7
186,2007-06-01,4.6
187,2007-05-01,4.4
188,2007-04-01,4.5
189,2007-03-01,4.4
190,2007-02-01,4.5
191,2007-01-01,4.6
192,2006-12-01,4.4
193,2006-11-01,4.5
194,2006-10-01,4.4
195,2006-09-01,4.5
196,2006-08-01,4.7
197,2006-07-01,4.7
198,2006-06-01,4.6
199,2006-05-01,4.6
200,2006-04-01,4.7
201,2006-03-01,4.7
202,2006-02-01,4.8
203,2006-01-01,4.7
204,2005-12-01,4.9
205,2005-11-01,5.0
206,2005-10-01,5.0
207,2005-09-01,5.0
208,2005-08-01,4.9
209,2005-07-01,5.0
210,2005-06-01,5.0
211,2005-05-01,5.1
212,2005-04-01,5.2
213,2005-03-01,5.2
214,2005-02-01,5.4
215,2005-01-01,5.3
216,2004-12-01,5.4
217,2004-11-01,5.4
218,2004-10-01,5.5
219,2004-09-01,5.4
220,2004-08-01,5.4
221,2004-07-01,5.5
222,2004-06-01,5.6
223,2004-05-01,5.6
224,2004-04-01,5.6
225,2004-03-01,5.8
226,2004-02-01,5.6
227,2004-01-01,5.7
228,2003-12-01,5.7
229,2003-11-01,5.8
230,2003-10-01,6.0
231,2003-09-01,6.1
232,2003-08-01,6.1
233,2003-07-01,6.2
234,2003-06-01,6.3
235,2003-05-01,6.1
236,2003-04-01,6.0
237,2003-03-01,5.9
238,2003-02-01,5.9
239,2003-01-01,5.8
240,2002-12-01,6.0
241,2002-11-01,5.9
242,2002-10-01,5.7
243,2002-09-01,5.7
244,2002-08-01,5.7
245,2002-07-01,5.8
246,2002-06-01,5.8
247,2002-05-01,5.8
248,2002-04-01,5.9
249,2002-03-01,5.7
250,2002-02-01,5.7
251,2002-01-01,5.7
252,2001-12-01,5.7
253,2001-11-01,5.5
254,2001-10-01,5.3
255,2001-09-01,5.0
256,2001-08-01,4.9
257,2001-07-01,4.6
258,2001-06-01,4.5
259,2001-05-01,4.3
260,2001-04-01,4.4
261,2001-03-01,4.3
262,2001-02-01,4.2
263,2001-01-01,4.2
264,2000-12-01,3.9
265,2000-11-01,3.9
266,2000-10-01,3.9
267,2000-09-01,3.9
268,2000-08-01,4.1
269,2000-07-01,4.0
270,2000-06-01,4.0
271,2000-05-01,4.0
272,2000-04-01,3.8
273,2000-03-01,4.0
274,2000-02-01,4.1
275,2000-01-01,4.0
276,1999-12-01,4.0
277,1999-11-01,4.1
278,1999-10-01,4.1
279,1999-09-01,4.2
280,1999-08-01,4.2
281,1999-07-01,4.3
282,1999-06-01,4.3
283,1999-05-01,4.2
284,1999-04-01,4.3
285,1999-03-01,4.2
286,1999-02-01,4.4
287,1999-01-01,4.3
288,1998-12-01,4.4
289,1998-11-01,4.4
290,1998-10-01,4.5
291,1998-09-01,4.6
292,1998-08-01,4.5
293,1998-07-01,4.5
294,1998-06-01,4.5
295,1998-05-01,4.4
296,1998-04-01,4.3
297,1998-03-01,4.7
298,1998-02-01,4.6
299,1998-01-01,4.6
300,1997-12-01,4.7
301,1997-11-01,4.6
302,1997-10-01,4.7
303,1997-09-01,4.9
304,1997-08-01,4.8
305,1997-07-01,4.9
306,1997-06-01,5.0
307,1997-05-01,4.9
308,1997-04-01,5.1
309,1997-03-01,5.2
310,1997-02-01,5.2
311,1997-01-01,5.3
312,1996-12-01,5.4
313,1996-11-01,5.4
314,1996-10-01,5.2
315,1996-09-01,5.2
316,1996-08-01,5.1
317,1996-07-01,5.5
318,1996-06-01,5.3
319,1996-05-01,5.6
320,1996-04-01,5.6
321,1996-03-01,5.5
322,1996-02-01,5.5
323,1996-01-01,5.6
324,1995-12-01,5.6
325,1995-11-01,5.6
326,1995-10-01,5.5
327,1995-09-01,5.6
328,1995-08-01,5.7
329,1995-07-01,5.7
330,1995-06-01,5.6
331,1995-05-01,5.6
332,1995-04-01,5.8
333,1995-03-01,5.4
334,1995-02-01,5.4
335,1995-01-01,5.6
336,1994-12-01,5.5
337,1994-11-01,5.6
338,1994-10-01,5.8
339,1994-09-01,5.9
340,1994-08-01,6.0
341,1994-07-01,6.1
342,1994-06-01,6.1
343,1994-05-01,6.1
344,1994-04-01,6.4
345,1994-03-01,6.5
346,1994-02-01,6.6
347,1994-01-01,6.6
348,1993-12-01,6.5
349,1993-11-01,6.6
350,1993-10-01,6.8
351,1993-09-01,6.7
352,1993-08-01,6.8
353,1993-07-01,6.9
354,1993-06-01,7.0
355,1993-05-01,7.1
356,1993-04-01,7.1
357,1993-03-01,7.0
358,1993-02-01,7.1
359,1993-01-01,7.3
360,1992-12-01,7.4
361,1992-11-01,7.4
362,1992-10-01,7.3
363,1992-09-01,7.6
364,1992-08-01,7.6
365,1992-07-01,7.7
366,1992-06-01,7.8
367,1992-05-01,7.6
368,1992-04-01,7.4
369,1992-03-01,7.4
370,1992-02-01,7.4
371,1992-01-01,7.3
372,1991-12-01,7.3
373,1991-11-01,7.0
374,1991-10-01,7.0
375,1991-09-01,6.9
376,1991-08-01,6.9
377,1991-07-01,6.8
378,1991-06-01,6.9
379,1991-05-01,6.9
380,1991-04-01,6.7
381,1991-03-01,6.8
382,1991-02-01,6.6
383,1991-01-01,6.4
384,1990-12-01,6.3
385,1990-11-01,6.2
386,1990-10-01,5.9
387,1990-09-01,5.9
388,1990-08-01,5.7
389,1990-07-01,5.5
390,1990-06-01,5.2
391,1990-05-01,5.4
392,1990-04-01,5.4
393,1990-03-01,5.2
394,1990-02-01,5.3
395,1990-01-01,5.4
396,1989-12-01,5.4
397,1989-11-01,5.4
398,1989-10-01,5.3
399,1989-09-01,5.3
400,1989-08-01,5.2
401,1989-07-01,5.2
402,1989-06-01,5.3
403,1989-05-01,5.2
404,1989-04-01,5.2
405,1989-03-01,5.0
406,1989-02-01,5.2
407,1989-01-01,5.4
408,1988-12-01,5.3
409,1988-11-01,5.3
410,1988-10-01,5.4
411,1988-09-01,5.4
412,1988-08-01,5.6
413,1988-07-01,5.4
414,1988-06-01,5.4
415,1988-05-01,5.6
416,1988-04-01,5.4
417,1988-03-01,5.7
418,1988-02-01,5.7
419,1988-01-01,5.7
420,1987-12-01,5.7
421,1987-11-01,5.8
422,1987-10-01,6.0
423,1987-09-01,5.9
424,1987-08-01,6.0
425,1987-07-01,6.1
426,1987-06-01,6.2
427,1987-05-01,6.3
428,1987-04-01,6.3
429,1987-03-01,6.6
430,1987-02-01,6.6
431,1987-01-01,6.6
432,1986-12-01,6.6
433,1986-11-01,6.9
434,1986-10-01,7.0
435,1986-09-01,7.0
436,1986-08-01,6.9
437,1986-07-01,7.0
438,1986-06-01,7.2
439,1986-05-01,7.2
440,1986-04-01,7.1
441,1986-03-01,7.2
442,1986-02-01,7.2
443,1986-01-01,6.7
444,1985-12-01,7.0
445,1985-11-01,7.0
446,1985-10-01,7.1
447,1985-09-01,7.1
448,1985-08-01,7.1
449,1985-07-01,7.4
450,1985-06-01,7.4
451,1985-05-01,7.2
452,1985-04-01,7.3
453,1985-03-01,7.2
454,1985-02-01,7.2
455,1985-01-01,7.3
456,1984-12-01,7.3
457,1984-11-01,7.2
458,1984-10-01,7.4
459,1984-09-01,7.3
460,1984-08-01,7.5
461,1984-07-01,7.5
462,1984-06-01,7.2
463,1984-05-01,7.4
464,1984-04-01,7.7
465,1984-03-01,7.8
466,1984-02-01,7.8
467,1984-01-01,8.0
468,1983-12-01,8.3
469,1983-11-01,8.5
470,1983-10-01,8.8
471,1983-09-01,9.2
472,1983-08-01,9.5
473,1983-07-01,9.4
474,1983-06-01,10.1
475,1983-05-01,10.1
476,1983-04-01,10.2
477,1983-03-01,10.3
478,1983-02-01,10.4
479,1983-01-01,10.4
480,1982-12-01,10.8
481,1982-11-01,10.8
482,1982-10-01,10.4
483,1982-09-01,10.1
484,1982-08-01,9.8
485,1982-07-01,9.8
486,1982-06-01,9.6
487,1982-05-01,9.4
488,1982-04-01,9.3
489,1982-03-01,9.0
490,1982-02-01,8.9
491,1982-01-01,8.6
492,1981-12-01,8.5
493,1981-11-01,8.3
494,1981-10-01,7.9
495,1981-09-01,7.6
496,1981-08-01,7.4
497,1981-07-01,7.2
498,1981-06-01,7.5
499,1981-05-01,7.5
500,1981-04-01,7.2
501,1981-03-01,7.4
502,1981-02-01,7.4
503,1981-01-01,7.5
504,1980-12-01,7.2
505,1980-11-01,7.5
506,1980-10-01,7.5
507,1980-09-01,7.5
508,1980-08-01,7.7
509,1980-07-01,7.8
510,1980-06-01,7.6
511,1980-05-01,7.5
512,1980-04-01,6.9
513,1980-03-01,6.3
514,1980-02-01,6.3
515,1980-01-01,6.3
516,1979-12-01,6.0
517,1979-11-01,5.9
518,1979-10-01,6.0
519,1979-09-01,5.9
520,1979-08-01,6.0
521,1979-07-01,5.7
522,1979-06-01,5.7
