,date,value
0,2022-07-01,60181.0
1,2022-04-01,59756.0
2,2022-01-01,59877.0
3,2021-10-01,60154.0
4,2021-07-01,59202.0
5,2021-04-01,58864.0
6,2021-01-01,57889.0
7,2020-10-01,57005.0
8,2020-07-01,56484.0
9,2020-04-01,52394.0
10,2020-01-01,57279.0
11,2019-10-01,58017.0
12,2019-07-01,57845.0
13,2019-04-01,57418.0
14,2019-01-01,57100.0
15,2018-10-01,56851.0
16,2018-07-01,56831.0
17,2018-04-01,56512.0
18,2018-01-01,56195.0
19,2017-10-01,55877.0
20,2017-07-01,55413.0
21,2017-04-01,55057.0
22,2017-01-01,54866.0
23,2016-10-01,54714.0
24,2016-07-01,54549.0
25,2016-04-01,54334.0
26,2016-01-01,54267.0
27,2015-10-01,54045.0
28,2015-07-01,54081.0
29,2015-04-01,54021.0
30,2015-01-01,53806.0
31,2014-10-01,53464.0
32,2014-07-01,53340.0
33,2014-04-01,52840.0
34,2014-01-01,52266.0
35,2013-10-01,52544.0
36,2013-07-01,52284.0
37,2013-04-01,51982.0
38,2013-01-01,51998.0
39,2012-10-01,51634.0
40,2012-07-01,51684.0
41,2012-04-01,51702.0
42,2012-01-01,51559.0
43,2011-10-01,51232.0
44,2011-07-01,50769.0
45,2011-04-01,50897.0
46,2011-01-01,50646.0
47,2010-10-01,50859.0
48,2010-07-01,50706.0
49,2010-04-01,50424.0
50,2010-01-01,50036.0
51,2009-10-01,49886.0
52,2009-07-01,49473.0
53,2009-04-01,49408.0
54,2009-01-01,49594.0
55,2008-10-01,50281.0
56,2008-07-01,51523.0
57,2008-04-01,51923.0
58,2008-01-01,51740.0
59,2007-10-01,52066.0
60,2007-07-01,51882.0
61,2007-04-01,51705.0
62,2007-01-01,51492.0
63,2006-10-01,51455.0
64,2006-07-01,51155.0
65,2006-04-01,51210.0
66,2006-01-01,51200.0
67,2005-10-01,50629.0
68,2005-07-01,50470.0
69,2005-04-01,50204.0
70,2005-01-01,50068.0
71,2004-10-01,49623.0
72,2004-07-01,49243.0
73,2004-04-01,48905.0
74,2004-01-01,48633.0
75,2003-10-01,48450.0
76,2003-07-01,48012.0
77,2003-04-01,47342.0
78,2003-01-01,47027.0
79,2002-10-01,46883.0
80,2002-07-01,46936.0
81,2002-04-01,46866.0
82,2002-01-01,46683.0
83,2001-10-01,46400.0
84,2001-07-01,46390.0
85,2001-04-01,46698.0
86,2001-01-01,46519.0
87,2000-10-01,46777.0
88,2000-07-01,46624.0
89,2000-04-01,46704.0
90,2000-01-01,45983.0
91,1999-10-01,45932.0
92,1999-07-01,45326.0
93,1999-04-01,44876.0
94,1999-01-01,44627.0
95,1998-10-01,44321.0
96,1998-07-01,43748.0
97,1998-04-01,43342.0
98,1998-01-01,43062.0
99,1997-10-01,42745.0
100,1997-07-01,42514.0
101,1997-04-01,42128.0
102,1997-01-01,41558.0
103,1996-10-01,41401.0
104,1996-07-01,41106.0
105,1996-04-01,40873.0
106,1996-01-01,40317.0
107,1995-10-01,40117.0
108,1995-07-01,39969.0
109,1995-04-01,39760.0
110,1995-01-01,39754.0
111,1994-10-01,39720.0
112,1994-07-01,39390.0
113,1994-04-01,39288.0
114,1994-01-01,38876.0
115,1993-10-01,38606.0
116,1993-07-01,38210.0
117,1993-04-01,38158.0
118,1993-01-01,38053.0
119,1992-10-01,38102.0
120,1992-07-01,37839.0
121,1992-04-01,37607.0
122,1992-01-01,37328.0
123,1991-10-01,36995.0
124,1991-07-01,36993.0
125,1991-04-01,36938.0
126,1991-01-01,36769.0
127,1990-10-01,37056.0
128,1990-07-01,37529.0
129,1990-04-01,37636.0
130,1990-01-01,37617.0
131,1989-10-01,37295.0
132,1989-07-01,37323.0
133,1989-04-01,37151.0
134,1989-01-01,36953.0
135,1988-10-01,36654.0
136,1988-07-01,36262.0
137,1988-04-01,36145.0
138,1988-01-01,35751.0
139,1987-10-01,35638.0
140,1987-07-01,35123.0
141,1987-04-01,34907.0
142,1987-01-01,34607.0
143,1986-10-01,34418.0
144,1986-07-01,34316.0
